type	name	time	size	kind
Seq	Python	5.926653613998496	10000000	Seq Python
MP	Python	1.0190933649973886	10000000	MP Python
Seq	Numba	0.28133225399869843	10000000	Seq Numba
Seq Fastmath	Numba	0.16076951200011536	10000000	Seq Fastmath Numba
Parallel	Numba	0.37612680200254545	10000000	Parallel Numba
Parallel Fastmath	Numba	0.35561285900257644	10000000	Parallel Fastmath Numba
MP	Numba	0.31269440799951553	10000000	MP Numba
MP Fastmath	Numba	0.30735062600069796	10000000	MP Fastmath Numba
Seq	Cython	4.8698867420025636	10000000	Seq Cython
Seq Native	Cython	0.2293221129984886	10000000	Seq Native Cython
MP	Cython	0.729494892002549	10000000	MP Cython
MP Native	Cython	0.032166782999411225	10000000	MP Native Cython
Seq	Python	11.903074765999918	20000000	Seq Python
MP	Python	1.6420414399981382	20000000	MP Python
Seq	Numba	0.20423760400080937	20000000	Seq Numba
Seq Fastmath	Numba	0.19064322499980335	20000000	Seq Fastmath Numba
Parallel	Numba	0.038768319001974305	20000000	Parallel Numba
Parallel Fastmath	Numba	0.02951877299710759	20000000	Parallel Fastmath Numba
MP	Numba	0.2047690910003439	20000000	MP Numba
MP Fastmath	Numba	0.40429059700181824	20000000	MP Fastmath Numba
Seq	Cython	9.75624253299975	20000000	Seq Cython
Seq Native	Cython	0.45722412100076326	20000000	Seq Native Cython
MP	Cython	1.5301967349987535	20000000	MP Cython
MP Native	Cython	0.06317413799843052	20000000	MP Native Cython
Seq	Python	17.978150402999745	30000000	Seq Python
MP	Python	2.487252086000808	30000000	MP Python
Seq	Numba	0.31691165400116006	30000000	Seq Numba
Seq Fastmath	Numba	0.28548009999940405	30000000	Seq Fastmath Numba
Parallel	Numba	0.055195836997882	30000000	Parallel Numba
Parallel Fastmath	Numba	0.04442914700121037	30000000	Parallel Fastmath Numba
MP	Numba	0.379604483001458	30000000	MP Numba
MP Fastmath	Numba	0.548649774002115	30000000	MP Fastmath Numba
Seq	Cython	14.759433000999707	30000000	Seq Cython
Seq Native	Cython	0.6967729269999836	30000000	Seq Native Cython
MP	Cython	2.264853677999781	30000000	MP Cython
MP Native	Cython	0.11951866700110259	30000000	MP Native Cython
Seq	Python	23.894148303999827	40000000	Seq Python
MP	Python	3.315765203002229	40000000	MP Python
Seq	Numba	0.4143666710006073	40000000	Seq Numba
Seq Fastmath	Numba	0.3809428790009406	40000000	Seq Fastmath Numba
Parallel	Numba	0.06192455800191965	40000000	Parallel Numba
Parallel Fastmath	Numba	0.0524379050002608	40000000	Parallel Fastmath Numba
MP	Numba	0.4809561109977949	40000000	MP Numba
MP Fastmath	Numba	0.6070971549997921	40000000	MP Fastmath Numba
Seq	Cython	19.472186667000642	40000000	Seq Cython
Seq Native	Cython	0.9176641259982716	40000000	Seq Native Cython
MP	Cython	2.6597514750028495	40000000	MP Cython
MP Native	Cython	0.13213261499913642	40000000	MP Native Cython
Seq	Python	30.026785638998263	50000000	Seq Python
MP	Python	4.384182582001813	50000000	MP Python
Seq	Numba	0.5144207260018447	50000000	Seq Numba
Seq Fastmath	Numba	0.47530925599858165	50000000	Seq Fastmath Numba
Parallel	Numba	0.08640459600064787	50000000	Parallel Numba
Parallel Fastmath	Numba	0.06552176400145981	50000000	Parallel Fastmath Numba
MP	Numba	0.5102937199990265	50000000	MP Numba
MP Fastmath	Numba	0.5451092289986263	50000000	MP Fastmath Numba
Seq	Cython	24.752134120000846	50000000	Seq Cython
Seq Native	Cython	1.1673992729993188	50000000	Seq Native Cython
MP	Cython	3.8540182469987485	50000000	MP Cython
MP Native	Cython	0.1498048529974767	50000000	MP Native Cython
Seq	Python	35.553114116999495	60000000	Seq Python
MP	Python	4.943223600999772	60000000	MP Python
Seq	Numba	0.619532677999814	60000000	Seq Numba
Seq Fastmath	Numba	0.5760740810001153	60000000	Seq Fastmath Numba
Parallel	Numba	0.10429386599935242	60000000	Parallel Numba
Parallel Fastmath	Numba	0.0741595050021715	60000000	Parallel Fastmath Numba
MP	Numba	0.6887228259984113	60000000	MP Numba
MP Fastmath	Numba	0.5744212360004894	60000000	MP Fastmath Numba
Seq	Cython	28.959711771000002	60000000	Seq Cython
Seq Native	Cython	1.3754715719987871	60000000	Seq Native Cython
MP	Cython	3.778569099999004	60000000	MP Cython
MP Native	Cython	0.2020060030008608	60000000	MP Native Cython
Seq	Python		70000000	Seq Python
MP	Python	6.039554860999488	70000000	MP Python
Seq	Numba	0.7167108239991649	70000000	Seq Numba
Seq Fastmath	Numba	0.6781108110008063	70000000	Seq Fastmath Numba
Parallel	Numba	0.11438280800211942	70000000	Parallel Numba
Parallel Fastmath	Numba	0.09931588899780763	70000000	Parallel Fastmath Numba
MP	Numba	1.0181570339991595	70000000	MP Numba
MP Fastmath	Numba	0.6701321069995174	70000000	MP Fastmath Numba
Seq	Cython		70000000	Seq Cython
Seq Native	Cython	1.6241253450025397	70000000	Seq Native Cython
MP	Cython	5.221434598999622	70000000	MP Cython
MP Native	Cython	0.2212725679964933	70000000	MP Native Cython
Seq	Python		80000000	Seq Python
MP	Python	6.510799862000567	80000000	MP Python
Seq	Numba	0.8134610540000722	80000000	Seq Numba
Seq Fastmath	Numba	0.7605488779990992	80000000	Seq Fastmath Numba
Parallel	Numba	0.1304610400002275	80000000	Parallel Numba
Parallel Fastmath	Numba	0.10032715300258133	80000000	Parallel Fastmath Numba
MP	Numba	0.8199771699983103	80000000	MP Numba
MP Fastmath	Numba	0.8388643760008563	80000000	MP Fastmath Numba
Seq	Cython		80000000	Seq Cython
Seq Native	Cython	1.8305090079993533	80000000	Seq Native Cython
MP	Cython	5.341641090002668	80000000	MP Cython
MP Native	Cython	0.24604529899806948	80000000	MP Native Cython
Seq	Python		90000000	Seq Python
MP	Python	7.312244385997474	90000000	MP Python
